band,Gray,lv,RReg,GReg,BReg,RVol,GVol,BVol,RVolToReg
1,255,1202,1715,1371,1828,1.892037128,2.816316561,1.588422081,1715
1,203,732,449,456,455,2.445256626,3.207593662,2.12137709,449
1,151,381.700012,443,446,448,2.978395245,3.620240995,2.655244694,443
1,87,112.900002,401,403,409,3.726059712,4.218657275,3.413037196,401
1,51,34.68,411,408,418,4.259440696,4.668748986,3.966050384,411
1,35,15.37,439,438,444,4.56832152,4.923447208,4.291949156,439
1,23,6.032,428,426,433,4.874222003,5.177647,4.621607896,428
1,11,1.174,366,377,377,5.321824954,5.511726449,5.101497991,366
1,7,0.4345,411,443,423,5.552387585,5.643238389,5.34233591,411
1,1,0.0066,125,409,321,6.2685,5.814255384,5.772778527,125
1,0,0,18,18,18,6.3,6.3,6.3,74
2,255,651.799988,1483,1207,1606,2.515388373,3.256961407,2.184904739,1483
2,203,395.700012,457,460,461,2.931351976,3.575803739,2.602393173,457
2,151,202.699997,446,448,451,3.379137684,3.930358468,3.054359127,446
2,87,61.560001,408,407,415,3.99844763,4.443495297,3.692595197,408
2,51,18.860001,412,408,418,4.473722977,4.848267407,4.194729923,412
2,35,8.136,436,436,442,4.764023402,5.083595558,4.499478566,436
2,23,3.275,429,430,433,5.034834121,5.300447455,4.797459627,429
2,11,0.6426,363,388,376,5.445180027,5.57754385,5.234473097,363
2,7,0.2417,406,456,427,5.661923857,5.676829737,5.442504917,406
2,1,0.0039,141,435,353,6.2685,5.799258191,5.769479913,141
2,0,0,18,18,18,6.3,6.3,6.3,74
3,255,297.299988,1262,1039,1387,3.109184172,3.708353688,2.77332682,1262
3,203,180,462,463,465,3.429693303,3.966039749,3.104446677,462
3,151,94.459999,453,452,457,3.772692731,4.253026463,3.458161457,453
3,87,28.299999,410,407,416,4.302190432,4.700493093,4.014678352,410
3,51,8.684,411,409,418,4.722825678,5.050036404,4.458195204,411
3,35,3.767,435,438,441,4.979948233,5.250264995,4.73126936,435
3,23,1.508,426,434,431,5.224749615,5.431293584,5.000602774,426
3,11,0.2952,353,404,375,5.604100172,5.64494661,5.386787886,353
3,7,0.11,389,473,432,5.817994064,5.708531794,5.558889172,389
3,1,0.001523116,373,442,408,6.002624513,5.815798643,5.749479444,373
3,0,0,18,18,18,6.3,6.3,6.3,74
4,255,199.100006,1168,964,1292,3.361748901,3.9098681,3.028578407,1168
4,203,120.699997,464,464,467,3.645946003,4.143651107,3.323323139,464
4,151,62.939999,453,452,457,3.964400115,4.410130834,3.653908117,453
4,87,18.82,410,407,416,4.456006532,4.825623189,4.174033754,410
4,51,5.85,412,410,418,4.842635438,5.147007433,4.588548547,412
4,35,2.527,434,439,440,5.085087659,5.33082993,4.847412045,434
4,23,1.014,423,437,429,5.320422887,5.493138519,5.104841416,423
4,11,0.1984,347,416,376,5.683473845,5.671332868,5.460648347,347
4,7,0.07,374,481,441,5.902385945,5.719982602,5.603025286,374
4,1,0.00101541,361,452,410,6.078263629,5.809699875,5.779557139,361
4,0,0,18,18,18,6.3,6.3,6.3,74
5,255,101,1031,852,1150,3.729848559,4.210796287,3.41011236,1031
5,203,61.02,466,464,468,3.969536346,4.416900968,3.666052751,466
5,151,31.34,453,451,457,4.251262004,4.655813169,3.960419727,453
5,87,9.363,409,407,416,4.690475708,5.02130364,4.423561796,409
5,51,2.925,410,412,416,5.038572076,5.298413145,4.800601132,410
5,35,1.284,432,443,438,5.257030184,5.451875358,5.036463333,432
5,23,0.5077,419,446,428,5.472106084,5.579046546,5.266325126,419
5,11,0.1035,327,439,386,5.824813724,5.701994647,5.556274103,327
5,7,0.0356,360,489,458,6.024330608,5.736351042,5.654155654,360
5,1,0.000507705,327,470,423,6.195956678,5.798207379,5.799059071,327
5,0,0,18,18,18,6.3,6.3,6.3,74
6,255,59.299999,1027,849,1146,3.740595994,4.218856864,3.420859795,1027
6,203,36.529999,467,466,469,3.974031971,4.415481297,3.669964733,467
6,151,18.719999,453,452,458,4.255247362,4.650575543,3.958474725,453
6,87,5.568,410,408,416,4.689367337,5.013607407,4.421978389,410
6,51,1.76,409,415,416,5.041131444,5.283765522,4.799312097,409
6,35,0.7551,430,444,439,5.264714444,5.436891468,5.032124934,430
6,23,0.3018,411,446,429,5.496988827,5.56596863,5.25991349,411
6,11,0.0601,280,447,391,5.928541903,5.67689377,5.539770175,280
6,7,0.0224,226,495,466,6.247261194,5.702666176,5.624330531,226
6,1,0.000304623,406,475,429,6.299282792,5.758775052,5.764762251,406
6,0,0,18,18,18,6.3,6.3,6.3,74
7,255,30.040001,1027,850,1145,3.740595994,4.216170005,3.423546654,1027
7,203,18.41,466,466,469,3.979337334,4.41303105,3.672430754,466
7,151,9.402,453,454,458,4.259950551,4.640429314,3.960684975,453
7,87,2.852,411,414,418,4.688851919,4.984239688,4.41402841,411
7,51,0.874,409,423,418,5.040718908,5.236942082,4.784865115,409
7,35,0.384,431,456,443,5.261606209,5.36768219,5.006666401,431
7,23,0.1521,400,466,436,5.520105948,5.463138052,5.218746167,400
7,11,0.0304,267,470,420,5.964907249,5.542450064,5.438301987,267
7,7,0.0111,272,498,480,6.215175679,5.566810434,5.502710281,272
7,1,0.000152312,361,489,454,6.298836061,5.606586265,5.612994556,361
7,0,0,18,18,18,6.3,6.3,6.3,74
8,255,15.05,1026,852,1144,3.743282853,4.210796287,3.426233512,1026
8,203,9.206,467,469,470,3.976487476,4.394974938,3.668976221,467
8,151,4.778,454,456,459,4.252580424,4.616337733,3.952143221,454
8,87,1.424,411,422,420,4.682924087,4.935988602,4.397258469,411
8,51,0.4409,411,434,422,5.029051769,5.164373908,4.755066001,411
8,35,0.1915,427,472,448,5.262901321,5.262619001,4.964232232,427
8,23,0.0746,396,482,449,5.530424903,5.330097492,5.144700073,396
8,11,0.0148,265,485,448,5.973904478,5.387162101,5.305829227,265
8,7,0.0053,332,501,493,6.158192342,5.408939751,5.347893951,332
8,1,7.62E-05,302,498,475,6.297962364,5.437313049,5.429130354,302
8,0,0,18,18,18,6.3,6.3,6.3,74
9,255,9.898,1029,859,1149,3.735222277,4.191988276,3.412799218,1029
9,203,6.1,466,468,469,3.97443684,4.382134803,3.66256667,466
9,151,3.128,453,458,458,4.255606278,4.596779797,3.951843975,453
9,87,0.9248,414,429,424,4.672465251,4.894428042,4.377444667,414
9,51,0.2932,410,443,425,5.024121416,5.101649525,4.726525882,410
9,35,0.1268,422,481,453,5.272749295,5.180905123,4.922331006,422
9,23,0.0489,391,490,459,5.549591701,5.233126962,5.077955053,391
9,11,0.0106,296,489,462,5.929121331,5.285587257,5.209677935,296
9,7,0.0049,374,505,503,6.082174907,5.299846506,5.229878672,374
9,1,5.08E-05,281,500,484,6.270408355,5.326262857,5.297107818,281
9,0,0,18,18,18,6.3,6.3,6.3,74
10,255,7.094,1027,863,1150,3.740595994,4.18124084,3.41011236,1027
10,203,4.252,466,469,469,3.979337334,4.367848706,3.660100648,466
10,151,2.232,456,463,461,4.245436074,4.563586115,3.933245061,456
10,87,0.6588,413,430,424,4.668543013,4.862866124,4.362012299,413
