num,20,2
1-0-1-255,29f,24c,30a,0,0,0
1-0-2-247,29a,249,304,0,0,0
1-0-3-239,293,244,2fd,0,0,0
1-0-4-231,287,23a,2ee,0,0,0
1-0-5-223,27b,22f,2df,0,0,0
1-0-6-215,26e,224,2cf,0,0,0
1-0-7-207,261,218,2bf,0,0,0
1-0-8-199,255,20e,2b1,0,0,0
1-0-9-191,249,203,2a3,0,0,0
1-0-10-183,23c,1f8,294,0,0,0
1-0-11-175,230,1ed,285,0,0,0
1-0-12-159,217,1d8,268,0,0,0
1-0-13-143,1fd,1c1,24a,0,0,0
1-0-14-127,1e3,1aa,22c,0,0,0
1-0-15-111,1c7,192,20c,0,0,0
1-0-16-95,1a9,177,1eb,0,0,0
1-0-17-79,189,15b,1c8,0,0,0
1-0-18-63,166,13c,1a1,0,0,0
1-0-19-55,153,12a,18c,0,0,0
1-0-20-47,13d,117,175,0,0,0
1-0-21-39,125,103,15c,0,0,0
1-0-22-31,109,ea,13f,0,0,0
1-0-23-23,e5,cb,11a,0,0,0
1-0-24-19,d2,bb,107,0,0,0
1-0-25-17,c9,b3,fd,0,0,0
1-0-26-15,bf,aa,f3,0,0,0
1-0-27-13,b2,a0,e5,0,0,0
1-0-28-11,a3,95,d7,0,0,0
1-0-29-9,95,8a,c8,0,0,0
1-0-30-7,86,7e,b9,0,0,0
1-0-31-5,76,72,a7,0,0,0
1-0-32-3,64,64,94,0,0,0
1-0-33-1,32,32,4a,0,0,0
1-0-34-0,0,0,0,0,0,0
1-1-35-255,28c,23a,2f1,-19,-18,-25
1-1-36-247,286,236,2ea,-20,-19,-26
1-1-37-239,27f,230,2e2,-20,-20,-27
1-1-38-231,274,227,2d5,-19,-19,-25
1-1-39-223,269,21e,2c8,-18,-17,-23
1-1-40-215,25d,214,2b9,-17,-16,-22
1-1-41-207,252,209,2ab,-15,-15,-20
1-1-42-199,247,200,29e,-14,-14,-19
1-1-43-191,23b,1f6,291,-14,-13,-18
1-1-44-183,22f,1eb,283,-13,-13,-17
1-1-45-175,223,1e1,276,-13,-12,-15
1-1-46-159,20c,1cd,25b,-11,-11,-13
1-1-47-143,1f4,1b8,23e,-9,-9,-12
1-1-48-127,1da,1a2,222,-9,-8,-10
1-1-49-111,1bf,18a,204,-8,-8,-8
1-1-50-95,1a3,171,1e4,-6,-6,-7
1-1-51-79,183,155,1c1,-6,-6,-7
1-1-52-63,161,137,19c,-5,-5,-5
1-1-53-55,14d,126,187,-6,-4,-5
1-1-54-47,137,113,170,-6,-4,-5
1-1-55-39,120,fe,158,-5,-5,-4
1-1-56-31,105,e6,13b,-4,-4,-4
1-1-57-23,e2,c8,116,-3,-3,-4
1-1-58-19,cf,b8,103,-3,-3,-4
1-1-59-17,c6,b0,f9,-3,-3,-4
1-1-60-15,bc,a7,ef,-3,-3,-4
1-1-61-13,af,9e,e2,-3,-2,-3
1-1-62-11,a0,93,d4,-3,-2,-3
1-1-63-9,92,89,c6,-3,-1,-2
1-1-64-7,82,7e,b7,-4,0,-2
1-1-65-5,73,73,a9,-3,1,2
1-1-66-3,63,66,99,-1,2,5
1-1-67-1,32,33,4d,0,1,3
1-1-68-0,0,0,0,0,0,0
1-2-69-255,284,231,2e4,-27,-27,-38
1-2-70-247,27e,22d,2dd,-28,-28,-39
1-2-71-239,277,227,2d5,-28,-29,-40
1-2-72-231,26d,21f,2c9,-26,-27,-37
1-2-73-223,263,216,2bd,-24,-25,-34
1-2-74-215,258,20d,2b0,-22,-23,-31
1-2-75-207,24d,203,2a3,-20,-21,-28
1-2-76-199,243,1fa,297,-18,-20,-26
1-2-77-191,237,1f1,28a,-18,-18,-25
1-2-78-183,22c,1e7,27d,-16,-17,-23
1-2-79-175,220,1dd,270,-16,-16,-21
1-2-80-159,20a,1ca,256,-13,-14,-18
1-2-81-143,1f2,1b6,23b,-11,-11,-15
1-2-82-127,1d9,1a0,220,-10,-10,-12
1-2-83-111,1be,189,203,-9,-9,-9
1-2-84-95,1a3,170,1e3,-6,-7,-8
1-2-85-79,183,155,1c0,-6,-6,-8
1-2-86-63,161,137,19c,-5,-5,-5
1-2-87-55,14d,126,187,-6,-4,-5
1-2-88-47,137,113,170,-6,-4,-5
1-2-89-39,120,fe,158,-5,-5,-4
1-2-90-31,105,e6,13c,-4,-4,-3
1-2-91-23,e2,c9,118,-3,-2,-2
1-2-92-19,d0,ba,105,-2,-1,-2
1-2-93-17,c7,b2,fc,-2,-1,-1
1-2-94-15,bd,aa,f2,-2,0,-1
1-2-95-13,b1,a2,e6,-1,2,1
1-2-96-11,a4,98,da,1,3,3
1-2-97-9,97,8f,cd,2,5,5
1-2-98-7,89,85,c0,3,7,7
1-2-99-5,7d,7c,b5,7,10,14
1-2-100-3,6f,71,a9,11,13,21
1-2-101-1,38,39,55,6,7,11
1-2-102-0,0,0,0,0,0,0
1-3-103-255,281,22c,2dc,-30,-32,-46
1-3-104-247,27b,228,2d6,-31,-33,-46
1-3-105-239,274,222,2cf,-31,-34,-46
1-3-106-231,26b,21b,2c3,-28,-31,-43
1-3-107-223,261,212,2b8,-26,-29,-39
1-3-108-215,257,20a,2ac,-23,-26,-35
1-3-109-207,24c,201,2a0,-21,-23,-31
1-3-110-199,242,1f8,294,-19,-22,-29
1-3-111-191,237,1ef,287,-18,-20,-28
1-3-112-183,22c,1e6,27b,-16,-18,-25
1-3-113-175,220,1dc,26e,-16,-17,-23
1-3-114-159,20b,1c9,255,-12,-15,-19
1-3-115-143,1f3,1b6,23b,-10,-11,-15
1-3-116-127,1da,1a0,220,-9,-10,-12
1-3-117-111,1c0,18a,204,-7,-8,-8
1-3-118-95,1a5,171,1e4,-4,-6,-7
1-3-119-79,185,156,1c2,-4,-5,-6
1-3-120-63,163,139,19e,-3,-3,-3
1-3-121-55,14e,128,189,-5,-2,-3
1-3-122-47,139,115,172,-4,-2,-3
1-3-123-39,122,100,15a,-3,-3,-2
1-3-124-31,107,e8,13f,-2,-2,0
1-3-125-23,e4,cd,11d,-1,2,3
1-3-126-19,d3,bf,10b,1,4,4
1-3-127-17,ca,b8,103,1,5,6
1-3-128-15,c0,b0,fa,1,6,7
1-3-129-13,b6,a9,f0,4,9,11
1-3-130-11,ac,a1,e6,9,12,15
1-3-131-9,a1,99,db,12,15,19
